folio;folioArmstrong;presi;nnot;prensa;yr;mes;inicio;fin;duracion;ddpp;leg;bboo;id_legb;inst;min;ciuur4;ciuur3;ciuur2;trabemp;rangoemp;org;orgb;tc;externo;extgeo;reg1;reg2;reg3;com1;lat1;long1;com2;lat2;long2;com3;lat3;long3;dem1;dem2;dem3;dem4;dem5;tactica1;tactica2;tactica3;tactica4;tactica5;lockout;blanco1;blanco2;blanco3;poli;enfrentamiento;arresto;heridos;neg;dis_sin_enf;fuerza_pol;bomb;carros;n_det;muertos;n_muertos;aliado1;central1;aliado2;central2;aliado3;central3;autoridad;dhtp;acuerdo;cod;Comentarios;dem.antigua;
;90;1;;;1980;;;;72,0;50,4;1;;;1;;;;3;;;;;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1562,4;;;;1,0;
;91;1;;;1981;;;;36,0;30,0;1;;;1;;;;6;;;;;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1410,0;;;;1,0;
;92;1;;;1981;;;;2,0;2,0;1;;;1;;;;3;;;;;67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134,0;;;;1,0;
;93;1;;;1981;;;;13,0;9,0;1;;;1;;;;3;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;108,0;;;;1,0;
;94;1;;;1981;;;;28,0;20,0;1;;;1;;;;3;;;;;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1100,0;;;;1,0;
;95;1;;;1981;;;;2,0;2,0;1;;;1;;;;3;;;;;135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;270,0;;;;1,0;
;96;1;;;1981;;;;8,0;6,0;1;;;1;;;;3;;;;;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;270,0;;;;1,0;
;97;1;;;1981;;;;10,0;8,0;1;;;1;;;;3;;;;;74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;592,0;;;;1,0;
;98;1;;;1981;;;;10,0;8,0;1;;;1;;;;3;;;;;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;280,0;;;;1,0;
;99;1;;;1981;;;;13,0;9,0;1;;;1;;;;3;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;180,0;;;;1,0;
;100;1;;;1981;;;;16,0;12,0;1;;;1;;;;3;;;;;73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;876,0;;;;1,0;
;101;1;;;1981;;;;6,0;4,0;1;;;1;;;;3;;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;240,0;;;;1,0;
;102;1;;;1981;;;;7,0;5,0;1;;;1;;;;3;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;450,0;;;;1,0;
;103;1;;;1981;;;;41,0;29,0;1;;;1;;;;3;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2639,0;;;;1,0;
;104;1;;;1981;;;;53,0;37,0;1;;;1;;;;3;;;;;248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9176,0;;;;1,0;
;105;1;;;1981;;;;13,0;9,0;1;;;1;;;;3;;;;;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;639,0;;;;1,0;
;106;1;;;1981;;;;3,0;3,0;1;;;1;;;;3;;;;;98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;294,0;;;;1,0;
;107;1;;;1981;;;;9,0;7,0;1;;;1;;;;3;;;;;67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;469,0;;;;1,0;
;108;1;;;1981;;;;18,0;11,0;1;;;1;;;;1;;;;;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;792,0;;;;1,0;
;109;1;;;1981;;;;18,0;11,0;1;;;1;;;;1;;;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;176,0;;;;1,0;
;110;1;;;1981;;;;56,0;37,0;1;;;1;;;;3;;;;;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2960,0;;;;1,0;
;111;1;;;1981;;;;59,0;51,0;1;;;3;;;;2;;;;;1755;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89505,0;;;;1,0;
;112;1;;;1981;;;;39,0;33,0;1;;;3;;;;2;;;;;8226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;271458,0;;;;1,0;
;113;1;;;1981;;;;55,0;37,0;1;;;1;;;;3;;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3404,0;;;;1,0;
;114;1;;;1981;;;;54,0;36,0;1;;;1;;;;3;;;;;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5112,0;;;;1,0;
;115;1;;;1981;;;;9,0;7,0;1;;;1;;;;3;;;;;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;238,0;;;;1,0;
;116;1;;;1981;;;;49,0;34,0;1;;;1;;;;3;;;;;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1802,0;;;;1,0;
;117;1;;;1981;;;;14,0;10,0;1;;;1;;;;3;;;;;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2500,0;;;;1,0;
;118;1;;;1981;;;;55,0;38,0;1;;;1;;;;3;;;;;81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3078,0;;;;1,0;
;119;1;;;1981;;;;36,0;25,0;1;;;1;;;;3;;;;;332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8300,0;;;;1,0;
;120;1;;;1981;;;;35,0;24,0;1;;;1;;;;3;;;;;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1296,0;;;;1,0;
;121;1;;;1981;;;;37,0;26,0;1;;;1;;;;3;;;;;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;494,0;;;;1,0;
;122;1;;;1981;;;;25,0;18,0;1;;;1;;;;3;;;;;456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8208,0;;;;1,0;
;123;1;;;1981;;;;16,0;11,0;1;;;1;;;;3;;;;;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;649,0;;;;1,0;
;124;1;;;1981;;;;30,0;20,0;1;;;1;;;;3;;;;;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1180,0;;;;1,0;
;125;1;;;1981;;;;7,0;5,0;1;;;1;;;;3;;;;;106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;530,0;;;;1,0;
;126;1;;;1981;;;;56,0;40,0;1;;;1;;;;3;;;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000,0;;;;1,0;
;127;1;;;1981;;;;35,0;25,0;1;;;1;;;;3;;;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;350,0;;;;1,0;
;128;1;;;1981;;;;13,0;9,0;1;;;1;;;;3;;;;;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;369,0;;;;1,0;
;129;1;;;1981;;;;15,0;11,0;1;;;1;;;;5;;;;;156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1716,0;;;;1,0;
